metric,condition_a,condition_b,mean_a,mean_b,diff,p_value,n_seeds,significant_0.05
auprc,cpa_real,elastic_net,0.40036640000000007,0.4250956,-0.02472919999999995,0.06519348065193481,5,False
auprc,cpa_real,gears_real,0.40036640000000007,0.41928719999999997,-0.018920799999999904,0.18858114188581143,5,False
auprc,cpa_real,geneformer_real,0.40036640000000007,0.4223172,-0.021950799999999937,0.06519348065193481,5,False
auprc,cpa_real,grnboost2_real,0.40036640000000007,0.0774086,0.3229578000000001,0.06519348065193481,5,False
auprc,cpa_real,overlay_resampled_real,0.40036640000000007,0.4197872,-0.01942079999999996,0.2502749725027497,5,False
auprc,elastic_net,gears_real,0.4250956,0.41928719999999997,0.005808400000000047,0.5623437656234377,5,False
auprc,elastic_net,geneformer_real,0.4250956,0.4223172,0.002778400000000014,0.5066493350664933,5,False
auprc,elastic_net,grnboost2_real,0.41130455,0.07612449999999998,0.33518005,9.999000099990002e-05,20,True
auprc,elastic_net,overlay_resampled_real,0.41130455,0.42035634999999993,-0.009051799999999943,0.21577842215778423,20,False
auprc,gears_real,geneformer_real,0.41928719999999997,0.4223172,-0.0030300000000000327,0.7476252374762524,5,False
auprc,gears_real,grnboost2_real,0.41928719999999997,0.0774086,0.3418786,0.06519348065193481,5,False
auprc,gears_real,overlay_resampled_real,0.41928719999999997,0.4197872,-0.000500000000000056,0.9353064693530647,5,False
auprc,geneformer_real,grnboost2_real,0.4223172,0.0774086,0.3449086,0.06519348065193481,5,False
auprc,geneformer_real,overlay_resampled_real,0.4223172,0.4197872,0.0025299999999999767,0.8802119788021198,5,False
auprc,grnboost2_real,overlay_resampled_real,0.07612449999999998,0.42035634999999993,-0.34423184999999995,9.999000099990002e-05,20,True
f1,cpa_real,elastic_net,0.4116759334132597,0.4255881466207039,-0.01391221320744418,0.19098090190980901,5,False
f1,cpa_real,gears_real,0.4116759334132597,0.4056321515102838,0.006043781902975887,0.5022497750224978,5,False
f1,cpa_real,geneformer_real,0.4116759334132597,0.42534127643893865,-0.013665343025678955,0.06519348065193481,5,False
f1,cpa_real,grnboost2_real,0.4116759334132597,0.0982693342693314,0.3134065991439283,0.06519348065193481,5,False
f1,cpa_real,overlay_resampled_real,0.4116759334132597,0.4223097231434273,-0.010633789730167598,0.3134686531346865,5,False
f1,elastic_net,gears_real,0.4255881466207039,0.4056321515102838,0.019955995110420066,0.1262873712628737,5,False
f1,elastic_net,geneformer_real,0.4255881466207039,0.42534127643893865,0.00024687018176522413,0.9373062693730627,5,False
f1,elastic_net,grnboost2_real,0.4175881278863054,0.09833968704723196,0.31924844083907344,9.999000099990002e-05,20,True
f1,elastic_net,overlay_resampled_real,0.4175881278863054,0.4286785885281271,-0.011090460641821731,0.036196380361963806,20,True
f1,gears_real,geneformer_real,0.4056321515102838,0.42534127643893865,-0.019709124928654842,0.1262873712628737,5,False
