perturbation,n_real_cells,real_deg_count,gears_delta_var_ratio,gears_deg_count,cpa_delta_var_ratio,cpa_deg_count,geneformer_delta_var_ratio,geneformer_deg_count
ABT1,107,8,0.005239240601215142,0,0.0810929679297318,0,0.0013524766837247262,1
ANAPC11,77,7,9.378586906628243,17,0.6199557463204101,0,0.1440194265853428,1
ARF4,89,9,5.643599231085095,0,30.23539632031534,0,0.20780110854501155,1
ARMC6,86,7,0.3186961535879908,10,0.5843379453754298,0,0.002555399026172833,1
ASF1B,284,2,4.2241505441161875,5,4.829082942723575,0,0.010268164662590123,1
ATP6V0C,53,31,0.28180850882950925,0,0.24021026259861972,0,0.029047515449736598,1
BOP1,253,0,7.4892396301902835,16,9.654316381064739,0,0.12791595797093666,1
BRCA1,104,5,3.87036190294242,4,2.7536651445546534,0,0.09013760427143153,1
BRIX1,132,16,0.010005995587137271,0,0.2075241851314687,0,0.01196718404297418,1
CASP8AP2,211,16,29.73197069554793,143,0.9032594029912211,0,0.0027930685697931733,1
CBX1,151,2,3.4557199419975286,1,6.756511207756596,0,0.06767790206798431,1
CCDC174,104,20,0.49804170200576947,7,0.26605567080885895,0,0.0010856225074489672,1
CCP110,47,12,0.6122450293117524,6,0.9946693397973096,0,0.0010861988923585606,1
CCT6A,131,7,0.9899447368604176,36,0.1472044460122013,0,0.23196066351734462,1
CD2BP2,132,6,0.4728834347605184,1,2.1533649834315707,0,0.007615290621541922,1
CDC20,115,2,0.8521759896881542,4,1.6709175210490341,0,0.026484976689898163,1
CENPH,63,6,8.237894369326177,3,6.403145485537625,0,0.06744650384513932,1
CEP85,129,1,1.7700473356939643,1,0.7924082318692296,0,0.006859726800608609,1
CHMP1A,78,12,1.2203165202432857,19,0.9833034174748054,0,0.0006066190222110964,1
CHMP5,110,3,6.719775983736425,24,3.427428672033544,0,0.02483616372149346,1
CIAO1,255,1,0.8272275008931472,2,3.8813506803148616,0,0.05225392999040038,1
CLASRP,127,6,7.840930035325509,12,2.3628566630875936,0,0.004819065823264363,1
