src,tgt,path_length,type
EIF2S3,PALB2,1,direct
RPAP1,POLR1C,-2,reversed-2
TMA16,RBBP5,2,hop-2
TMX2,DDX24,1,direct
RPL10A,DPM2,-1,reversed-1
RPE,SURF6,2,hop-2
NAT10,RSL1D1,-1,reversed-1
RNASEH2C,WBP1L,0,no_path
RPL39,SKA3,1,direct
SKA3,HDAC3,1,direct
EIF2S3,PSME1,1,direct
SNAPC5,CLASRP,1,direct
ABT1,MARS,2,hop-2
PALB2,RNF8,-1,reversed-1
PREB,KDM2A,2,hop-2
SLU7,TMA16,-2,reversed-2
UNC45A,CHMP1A,-1,reversed-1
PSMC3,TRIAP1,1,direct
COG2,CHMP1A,0,no_path
CDC20,TMA16,-1,reversed-1
MED1,KDM2A,1,direct
CDC20,SLU7,1,direct
WAC,NFS1,2,hop-2
INCENP,MARS,1,direct
SLU7,ELAC2,-2,reversed-2
PPP1CB,HNRNPR,-1,reversed-1
SRSF6,TRMT6,0,no_path
CPSF6,SDHA,-2,reversed-2
CYFIP1,DHODH,2,hop-2
GMPPB,RPAIN,-2,reversed-2
RPUSD3,RNF8,-2,reversed-2
ILF3,RBBP5,1,direct
NDUFA2,ARF4,1,direct
RBX1,RNPS1,-1,reversed-1
RPL10A,ZNF317,1,direct
DDX19A,RPL7A,-1,reversed-1
CCDC174,GUK1,-1,reversed-1
COG4,TRIAP1,-2,reversed-2
PREB,NELFA,1,direct
WDR26,MRPS11,-2,reversed-2
RPAP1,EIF4G1,-1,reversed-1
METAP2,GPS1,1,direct
PTMA,PSMG1,-1,reversed-1
ASF1B,MRGBP,-1,reversed-1
EIF2S3,RPAIN,1,direct
MED1,NELFA,1,direct
DYNC1H1,HSPD1,-1,reversed-1
NAT10,WAC,-1,reversed-1
RPL35,USP7,2,hop-2
TRMT6,STAT5A,-1,reversed-1
PSMA5,HNRNPR,-1,reversed-1
GTF2F2,MOCS3,2,hop-2
RPS3,KIN,1,direct
PPP1R7,XAB2,2,hop-2
SART1,DPM2,-1,reversed-1
PREB,IARS2,-1,reversed-1
RSL1D1,KIN,1,direct
CBX1,RBBP5,-1,reversed-1
NOL11,MRTO4,-1,reversed-1
NEPRO,RPL35A,-1,reversed-1
PSMC4,USP8,2,hop-2
SURF6,VPS72,1,direct
CTU2,NOL12,-1,reversed-1
DDX41,CCT6A,-1,reversed-1
RAD9A,MRPL38,-3,reversed-3
MED1,IARS2,-1,reversed-1
PSME1,WBP1L,0,no_path
HSPD1,MOCS3,1,direct
ABT1,MRPS28,1,direct
PSMC3,NUTF2,1,direct
USP7,POLR1C,0,no_path
PSMA5,MRPL21,1,direct
RPL35A,XRCC5,2,hop-2
ARF4,NOL12,1,direct
DDX19A,PPP1CB,1,direct
RRP12,CHMP1A,0,no_path
SLC1A5,RNF8,-2,reversed-2
GTF2F2,DPM2,1,direct
IFITM2,SURF6,-2,reversed-2
NEPRO,USP7,1,direct
PSMA1,IARS2,-1,reversed-1
EIF2S3,PSMG1,-1,reversed-1
SRSF6,RPS3,-1,reversed-1
CBX1,SUPT5H,-1,reversed-1
SRSF6,SMC6,-1,reversed-1
RPUSD3,GMPPB,1,direct
CDC20,ILF3,-1,reversed-1
USP7,RPAP1,2,hop-2
POLR2E,SDHA,1,direct
ROMO1,MRPS11,-1,reversed-1
MRPL38,MRTO4,1,direct
RPL7A,MARS,1,direct
MED17,MMS22L,-2,reversed-2
RAD9A,MRTO4,-2,reversed-2
RPS3,RSL1D1,-1,reversed-1
SART1,ZNF317,0,no_path
POLR2B,MMS22L,2,hop-2
WDR26,ARF4,-1,reversed-1
TRMT6,NFS1,0,no_path
HSPD1,DPM2,-1,reversed-1
COG4,NUTF2,-1,reversed-1
METAP1,SLU7,-2,reversed-2
DDX19A,MARS,2,hop-2
ZC3H8,MRTO4,-1,reversed-1
NAT10,MED4,2,hop-2
VPS13D,CEP85,0,no_path
METAP1,ELAC2,-2,reversed-2
RPL35,YBX1,1,direct
MMS22L,ZNF830,0,no_path
XAB2,CHMP1A,0,no_path
NEPRO,CCP110,0,no_path
WDR4,MEPCE,2,hop-2
PTCD3,STAT5A,1,direct
METAP2,SNAPC5,2,hop-2
RNASEH2C,RNF8,-2,reversed-2
EIF2S3,WBP1L,1,direct
MRPL21,MRGBP,-1,reversed-1
CCNL1,MRPL9,-2,reversed-2
RPL35,VPS13D,2,hop-2
GTF2F2,ZNF317,2,hop-2
CCDC174,POLR2E,-2,reversed-2
PSMC3,RNPS1,-1,reversed-1
PPP1R7,UNC45A,1,direct
ILF3,SCFD1,1,direct
USP7,EIF4G1,-1,reversed-1
NDUFA2,USP5,1,direct
TRA2B,RAB4A,1,direct
RRP12,TBCC,0,no_path
TRAIP,VPS13D,0,no_path
MRPL9,XPO5,1,direct
RSL24D1,TRIAP1,1,direct
HSPD1,ZNF317,1,direct
SLU7,USP8,1,direct
LSM10,MRGBP,-1,reversed-1
RPS3,WAC,-1,reversed-1
GMPPB,XPO5,-2,reversed-2
CDC20,USP8,1,direct
PTMA,MRPL9,1,direct
GMPPB,ATP6V0C,-1,reversed-1
RPL35A,RPL18A,1,direct
RPL39,PSMC4,-1,reversed-1
DPM2,CHMP1A,1,direct
WDR26,HMGCS1,-1,reversed-1
RSL1D1,IARS2,1,direct
ELAC2,EIF3B,1,direct
PSMC3,MCM7,1,direct
RPL7A,MRPS28,1,direct
CPSF4,ARMC6,-1,reversed-1
CTU2,MRPS31,-1,reversed-1
NDUFA2,ROMO1,1,direct
COG4,GTF2H3,-1,reversed-1
ILF3,TMA16,-1,reversed-1
SCFD1,HDAC3,0,no_path
DYNC1H1,COG2,-1,reversed-1
DYNC1H1,RPP38,-2,reversed-2
NUP54,GUK1,-2,reversed-2
RBX1,MYCBP,1,direct
PTCD3,NAT10,1,direct
RNASEH2C,GMPPB,1,direct
MEPCE,NUTF2,-1,reversed-1
MED1,RPS3,-1,reversed-1
RPL39,SCFD1,1,direct
ARMC6,DDX24,-2,reversed-2
TRA2B,PALB2,1,direct
DYNC1H1,PPP1R7,-2,reversed-2
NUTF2,SRFBP1,1,direct
ORC6,ELAC2,-2,reversed-2
MRPL4,NOL12,1,direct
ANAPC11,HDAC3,1,direct
POLR2B,XRCC2,1,direct
PTMA,RNF8,-1,reversed-1
POLA2,HSPE1,-1,reversed-1
PSMB2,SEC61G,-1,reversed-1
PTCD3,CASP8AP2,2,hop-2
