src,tgt,path_length,type
XAB2,DYNC1H1,0,no_path
EIF3B,CDC20,1,direct
BOP1,NUP214,-1,reversed-1
EIF2S3,PALB2,1,direct
RPL35,EIF4G1,1,direct
HSPD1,GTF2F2,-1,reversed-1
LSM5,WDR26,1,direct
NUP54,CPSF6,1,direct
ORC6,USP8,2,hop-2
RPAP1,POLR1C,-2,reversed-2
HMGCS1,CTU2,-2,reversed-2
ZNF317,UNC45A,0,no_path
RRP12,COQ5,0,no_path
RNPS1,PSMC3,1,direct
LSM5,TMX2,1,direct
MRPL21,DDX19A,1,direct
ATP6V0C,SLC1A5,1,direct
NAT10,PTCD3,-1,reversed-1
METAP2,HTATSF1,-1,reversed-1
NUP214,HTATSF1,1,direct
PSMG1,PSME1,1,direct
RNPS1,MCM7,1,direct
CHMP5,XRCC2,1,direct
SRSF6,PSMA1,-2,reversed-2
TAF2,ATP6V0C,-1,reversed-1
SARS2,MRTO4,-1,reversed-1
CPSF4,USP5,0,no_path
INCENP,NUP54,-1,reversed-1
CCT6A,CD2BP2,1,direct
POLR2B,MTOR,1,direct
PSMC3,NELFE,1,direct
ARF4,MRPL4,1,direct
TRMT6,IARS2,-2,reversed-2
ARF4,ROMO1,1,direct
HDAC3,SCFD1,0,no_path
RPE,SURF6,2,hop-2
ATP6V0C,GMPPB,1,direct
RPUSD3,CCNL1,2,hop-2
CLASRP,DHODH,0,no_path
XAB2,ZNF317,0,no_path
PSME1,RNASEH2C,-1,reversed-1
WDR26,NOL12,-2,reversed-2
RNASEH2C,WBP1L,0,no_path
SLU7,SUPT5H,1,direct
MRPS22,PSMA1,1,direct
SBDS,NUTF2,1,direct
NOL11,SARS2,1,direct
WDR18,NELFE,1,direct
RNPS1,WDR4,1,direct
MRPL4,ROMO1,-1,reversed-1
CPSF4,NDUFA2,-1,reversed-1
RPAIN,RNASEH2C,1,direct
RPL39,SKA3,1,direct
PTMA,RNASEH2C,1,direct
MRPL21,RPL7A,-1,reversed-1
MYCBP,PSMC3,-1,reversed-1
CASP8AP2,NFS1,0,no_path
MRPS11,ROMO1,1,direct
POLR2B,MED17,1,direct
NELFA,CASP8AP2,2,hop-2
FBL,BOP1,1,direct
GTF2F2,PPP1R7,1,direct
RPL10A,XAB2,1,direct
WDR26,NFRKB,-4,reversed-4
MYCBP,MCM7,1,direct
MRPL21,HNRNPR,-1,reversed-1
EIF2S3,PSME1,1,direct
MRPL38,CHMP5,-1,reversed-1
RBX1,NELFE,1,direct
ABT1,MARS,2,hop-2
HDAC3,ORC6,-1,reversed-1
ZNF830,URM1,-2,reversed-2
RPS3,KDM2A,1,direct
MYCBP,WDR18,1,direct
COG2,RRP12,2,hop-2
TMX2,ROMO1,1,direct
RAD9A,ZC3H8,0,no_path
DPM2,XAB2,1,direct
PTMA,ATP6V0C,-1,reversed-1
XAB2,RRP12,0,no_path
ATP6V0C,TRA2B,-1,reversed-1
RAD9A,CHMP5,-2,reversed-2
DYNC1H1,COQ5,0,no_path
STAT5A,PSMA1,-2,reversed-2
CYC1,DDX41,1,direct
RRP12,UNC45A,0,no_path
CPSF4,TMX2,-1,reversed-1
INCENP,CCDC174,2,hop-2
DDX41,CLASRP,1,direct
ZNRD1,GUK1,-1,reversed-1
PREB,KDM2A,2,hop-2
CASP8AP2,MED1,-2,reversed-2
DDX24,NDUFA2,-1,reversed-1
SLU7,TMA16,-2,reversed-2
PTMA,TAF2,1,direct
PSMC3,TRIAP1,1,direct
COG2,CHMP1A,0,no_path
PSMB2,MED17,1,direct
TRIAP1,WDR4,1,direct
MYCBP,COG4,1,direct
ABT1,ZNRD1,-1,reversed-1
NUP214,SNAPC5,1,direct
PSMB1,MRTO4,1,direct
LSM5,MRPL4,1,direct
BRCA1,RPL10A,-1,reversed-1
