src,tgt,path_length,type
XAB2,DYNC1H1,0,no_path
BOP1,NUP214,-1,reversed-1
RPL35,EIF4G1,1,direct
NEPRO,RPAP1,1,direct
POLR2E,NUP54,1,direct
HSPD1,GTF2F2,-1,reversed-1
LSM5,WDR26,1,direct
NUP54,CPSF6,1,direct
WDR18,C7orf26,-2,reversed-2
HSPD1,PAF1,1,direct
HMGCS1,CTU2,-2,reversed-2
ORC6,USP8,2,hop-2
RNF8,RPAIN,1,direct
RRP12,COQ5,0,no_path
CCT6A,GPS1,1,direct
RNPS1,PSMC3,1,direct
LSM5,TMX2,1,direct
MRPL21,DDX19A,1,direct
METAP2,HTATSF1,-1,reversed-1
NUP214,HTATSF1,1,direct
PSMG1,PSME1,1,direct
GTF2H3,SBDS,-1,reversed-1
STAT5A,IARS2,-1,reversed-1
RNPS1,MCM7,1,direct
MRGBP,DDX19A,2,hop-2
CHMP5,XRCC2,1,direct
SRSF6,PSMA1,-2,reversed-2
MRPL21,INCENP,2,hop-2
TAF2,ATP6V0C,-1,reversed-1
SARS2,MRTO4,-1,reversed-1
CHMP1A,RRP12,0,no_path
MRPS31,HMGCS1,2,hop-2
CPSF4,USP5,0,no_path
RNPS1,WDR18,1,direct
STAT5A,KIN,1,direct
SLU7,METAP1,2,hop-2
TMX2,DDX24,1,direct
RPL10A,DPM2,-1,reversed-1
INCENP,NUP54,-1,reversed-1
URM1,MED21,2,hop-2
MRPL9,EIF2S3,-1,reversed-1
CCT6A,CD2BP2,1,direct
METAP2,CYC1,-1,reversed-1
PSMC3,NELFE,1,direct
TRA2B,EIF2S3,1,direct
ELAC2,RBBP5,2,hop-2
RRP12,SART1,-1,reversed-1
TRMT6,IARS2,-2,reversed-2
HDAC3,SCFD1,0,no_path
RPE,SURF6,2,hop-2
SLC1A5,RPAIN,-1,reversed-1
PALB2,PSME1,0,no_path
CLASRP,DHODH,0,no_path
XAB2,ZNF317,0,no_path
WDR26,NOL12,-2,reversed-2
PDCD6IP,NOL12,1,direct
RNASEH2C,WBP1L,0,no_path
SLU7,SUPT5H,1,direct
UNC45A,BRCA1,-2,reversed-2
PSME1,SRP14,-1,reversed-1
MRPS22,PSMA1,1,direct
CPSF4,NDUFA2,-1,reversed-1
RNPS1,WDR4,1,direct
RNPS1,COG4,1,direct
MRPL4,ROMO1,-1,reversed-1
RPL39,SKA3,1,direct
MEPCE,ZMAT5,0,no_path
PTMA,RNASEH2C,1,direct
RPL35A,TRAIP,1,direct
PPP1R7,GAK,3,hop-3
MRPL21,RPL7A,-1,reversed-1
POLR2E,CCDC174,2,hop-2
CASP8AP2,NFS1,0,no_path
RPAIN,SRP14,-1,reversed-1
NELFA,CASP8AP2,2,hop-2
POLR2B,MED17,1,direct
PTMA,SRP14,-1,reversed-1
FBL,BOP1,1,direct
MRPS22,NAT10,-1,reversed-1
LSM5,DDX24,1,direct
RPL10A,XAB2,1,direct
WDR26,NFRKB,-4,reversed-4
MRPL21,HNRNPR,-1,reversed-1
EIF2S3,PSME1,1,direct
SNAPC5,CLASRP,1,direct
CD2BP2,NUP214,-1,reversed-1
RBX1,NELFE,1,direct
ABT1,MARS,2,hop-2
RPS3,KDM2A,1,direct
XRCC5,POLR3E,1,direct
RAD9A,ZC3H8,0,no_path
PTMA,ATP6V0C,-1,reversed-1
STAT5A,PSMA1,-2,reversed-2
CYC1,DDX41,1,direct
PSME1,TAF2,0,no_path
CPSF4,TMX2,-1,reversed-1
DDX24,ARF4,-1,reversed-1
DDX41,CLASRP,1,direct
WDR4,C7orf26,-2,reversed-2
SLU7,TMA16,-2,reversed-2
PTMA,TAF2,1,direct
PSMC3,TRIAP1,1,direct
PSMB2,MED17,1,direct
TRIAP1,WDR4,1,direct
MYCBP,COG4,1,direct
ABT1,ZNRD1,-1,reversed-1
NUP214,SNAPC5,1,direct
CPSF6,MRPS28,-2,reversed-2
PSMB1,MRTO4,1,direct
COG4,C7orf26,-2,reversed-2
LSM5,MRPL4,1,direct
WBP1L,RPAIN,0,no_path
CDC20,TMA16,-1,reversed-1
