src,tgt,path_length,type
EIF3B,CDC20,1,direct
BOP1,NUP214,-1,reversed-1
EIF2S3,PALB2,1,direct
HSPD1,GTF2F2,-1,reversed-1
WDR18,C7orf26,-2,reversed-2
HSPD1,PAF1,1,direct
RPAP1,POLR1C,-2,reversed-2
RNF8,RPAIN,1,direct
RRP12,COQ5,0,no_path
RNPS1,PSMC3,1,direct
LSM5,TMX2,1,direct
MRPL21,DDX19A,1,direct
ATP6V0C,SLC1A5,1,direct
PSMG1,PSME1,1,direct
FIP1L1,CHMP5,-2,reversed-2
POLR2B,NOL11,1,direct
RSL1D1,MED4,1,direct
MRGBP,DDX19A,2,hop-2
NDUFA2,CPSF4,1,direct
SRSF6,PSMA1,-2,reversed-2
STAT5A,KIN,1,direct
TAF2,ATP6V0C,-1,reversed-1
GUK1,MARS,2,hop-2
MRPS31,HMGCS1,2,hop-2
CPSF4,USP5,0,no_path
RPL10A,DPM2,-1,reversed-1
INCENP,NUP54,-1,reversed-1
CCT6A,CD2BP2,1,direct
INCENP,PPP1CB,2,hop-2
PSMC3,NELFE,1,direct
ARF4,MRPL4,1,direct
POLR2B,MTOR,1,direct
ELAC2,RBBP5,2,hop-2
TRMT6,IARS2,-2,reversed-2
SURF6,POLA2,0,no_path
HDAC3,SCFD1,0,no_path
RPE,SURF6,2,hop-2
MRPL21,ASF1B,2,hop-2
ATP6V0C,GMPPB,1,direct
SLC1A5,RPAIN,-1,reversed-1
SENP6,MEPCE,1,direct
PALB2,PSME1,0,no_path
CLASRP,DHODH,0,no_path
POLR3E,USP7,-1,reversed-1
WDR26,NOL12,-2,reversed-2
PDCD6IP,NOL12,1,direct
RNASEH2C,WBP1L,0,no_path
UNC45A,BRCA1,-2,reversed-2
MRPS22,PSMA1,1,direct
RPL39,SKA3,1,direct
RNPS1,WDR4,1,direct
MRPL4,ROMO1,-1,reversed-1
CPSF4,MRPS31,-1,reversed-1
RPL35A,TRAIP,1,direct
MEPCE,ZMAT5,0,no_path
PTMA,RNASEH2C,1,direct
PPP1R7,GAK,3,hop-3
CASP8AP2,NFS1,0,no_path
PREB,TRMT6,3,hop-3
POLR2B,MED17,1,direct
GTF2F2,PPP1R7,1,direct
MRPS22,SRSF6,2,hop-2
MRPS22,NAT10,-1,reversed-1
RPL10A,XAB2,1,direct
WDR26,NFRKB,-4,reversed-4
MRPL21,HNRNPR,-1,reversed-1
EIF2S3,PSME1,1,direct
MRPL38,CHMP5,-1,reversed-1
SNAPC5,CLASRP,1,direct
RBX1,NELFE,1,direct
ABT1,MARS,2,hop-2
HDAC3,ORC6,-1,reversed-1
CD2BP2,NUP214,-1,reversed-1
NUTF2,MEPCE,1,direct
RPS3,KDM2A,1,direct
COG2,RRP12,2,hop-2
DPH3,NEPRO,-1,reversed-1
PTMA,ATP6V0C,-1,reversed-1
PALB2,RNF8,-1,reversed-1
XAB2,RRP12,0,no_path
ATP6V0C,TRA2B,-1,reversed-1
RAD9A,CHMP5,-2,reversed-2
DYNC1H1,COQ5,0,no_path
STAT5A,PSMA1,-2,reversed-2
CYC1,DDX41,1,direct
CPSF4,TMX2,-1,reversed-1
INCENP,CCDC174,2,hop-2
MOCS3,DYNC1H1,0,no_path
DDX24,ARF4,-1,reversed-1
WDR4,C7orf26,-2,reversed-2
PPP1CB,DDX19A,-1,reversed-1
MED1,TRMT6,2,hop-2
ROMO1,CPSF4,2,hop-2
DDX41,CLASRP,1,direct
CASP8AP2,MED1,-2,reversed-2
DDX24,NDUFA2,-1,reversed-1
UNC45A,CHMP1A,-1,reversed-1
SLU7,TMA16,-2,reversed-2
PTMA,TAF2,1,direct
PSMC3,TRIAP1,1,direct
COG2,CHMP1A,0,no_path
TRIAP1,WDR4,1,direct
SNAPC5,POLA2,0,no_path
SBDS,C7orf26,1,direct
NUP214,SNAPC5,1,direct
CPSF6,MRPS28,-2,reversed-2
PSMB1,MRTO4,1,direct
COG4,C7orf26,-2,reversed-2
LSM5,MRPL4,1,direct
WBP1L,RPAIN,0,no_path
CDC20,TMA16,-1,reversed-1
LSM5,ROMO1,1,direct
TAF2,GMPPB,0,no_path
KIF4A,SNRPG,1,direct
CCNL1,PALB2,0,no_path
SEC61G,ZC3H8,1,direct
METAP2,CLASRP,1,direct
NUP214,CLASRP,2,hop-2
ANAPC11,SCFD1,1,direct
CDC20,SLU7,1,direct
DDX24,TMX2,-1,reversed-1
RNPS1,MEPCE,1,direct
ELAC2,SKA3,2,hop-2
WDR18,ZMAT5,2,hop-2
RBX1,TRIAP1,1,direct
CCDC174,ABT1,-1,reversed-1
ATP6V0C,MRPL9,1,direct
CBX1,USP8,1,direct
FIP1L1,MMS22L,2,hop-2
HSPD1,PPP1R7,1,direct
MOCS3,ZNF317,0,no_path
MRPL4,MRPL24,1,direct
ARF4,HMGCS1,1,direct
WAC,NFS1,2,hop-2
RNPS1,RSL24D1,1,direct
LSM10,POLR2E,1,direct
INCENP,MARS,1,direct
CENPH,NOL11,1,direct
POLR2E,ZNRD1,1,direct
PTMA,SLC1A5,1,direct
MRTO4,ZC3H8,1,direct
MRPS22,PTCD3,-1,reversed-1
MRTO4,CHMP5,-1,reversed-1
POLR3E,CCP110,0,no_path
SEC61G,FIP1L1,1,direct
SRSF6,TRMT6,0,no_path
YBX1,POLR1C,1,direct
DPH3,CCP110,0,no_path
CPSF6,SDHA,-2,reversed-2
PSMB2,CENPH,1,direct
CYFIP1,DHODH,2,hop-2
UNC45A,SART1,0,no_path
SENP6,ZMAT5,0,no_path
HNRNPR,PSMA5,1,direct
RPL10A,DYNC1H1,1,direct
SRP14,PALB2,2,hop-2
DDX24,LSM5,-1,reversed-1
PSME1,GMPPB,0,no_path
EIF4G1,RPL35A,-1,reversed-1
NOL12,CTU2,1,direct
CEP85,POLR1C,0,no_path
STAT5A,PTCD3,-1,reversed-1
HDAC3,SUPT5H,-1,reversed-1
RPUSD3,RNF8,-2,reversed-2
LSM10,ASF1B,2,hop-2
RNASEH2C,RPAIN,-1,reversed-1
NELFE,NUTF2,-2,reversed-2
CCNL1,PTMA,-1,reversed-1
TMX2,HMGCS1,2,hop-2
SEC61G,XRCC2,1,direct
URM1,ZNF830,2,hop-2
ILF3,RBBP5,1,direct
SMC6,NFS1,1,direct
MCM10,SKA3,1,direct
PSMC4,SLU7,1,direct
MCM7,SBDS,-1,reversed-1
ILF3,CDC20,1,direct
LSM5,PDCD6IP,1,direct
