gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score
WDR26,0.9936149666085956,0.0,0.014514715908198647,0,7,0.5589526052532097
PPP1CB,0.10419051264957863,0.0,0.027394422164538062,0,10,0.34194401902185567
BRIX1,5.5421625475107155e-34,2.3264470500651406e-05,0.0022169102541202963,18,1,0.32427768223186043
RNPS1,5.5421625475107155e-34,7.895820291130174e-06,0.0021737809238779183,18,1,0.32380536713811614
CCT6A,2.6851777542689383e-31,6.68324788927804e-05,0.0024047363803686166,17,2,0.30966792472487803
RPL10A,2.6851777542689383e-31,5.752669069251984e-05,0.0023395381621842616,17,2,0.308953930272364
RSL1D1,2.6851777542689396e-31,3.4242077793166564e-05,0.002334678789085348,17,2,0.308900714624269
RPL7A,2.6851777542689383e-31,3.0364666043057996e-05,0.002334678789085348,17,2,0.308900714624269
PSMC3,2.6851777542689396e-31,7.895820291130174e-06,0.0022764277934293397,17,2,0.3082628001396399
NUP214,5.7253745325524036e-37,0.0,0.0020702705312962122,17,0,0.3060051442464633
SBDS,5.7253745325524036e-37,0.0,0.0020702705312962122,17,0,0.3060051442464633
YBX1,8.682074738802894e-29,0.00019626753295095002,0.0026419439697735127,16,3,0.29559895025971317
PSMB2,8.682074738802893e-29,5.522038604115656e-05,0.002461268972356822,16,3,0.293620354073254
WAC,5.5421625475107155e-34,2.381838646495262e-05,0.0022169102541202963,16,1,0.2909443488985271
HNRNPR,5.5421625475107155e-34,1.9689194731070774e-05,0.0022169102541202963,16,1,0.2909443488985271
TRA2B,5.7253745325524036e-37,0.0,0.0020702705312962122,16,0,0.28933847757979664
PSMC4,5.7253745325524036e-37,0.0,0.0020702705312962122,16,0,0.28933847757979664
FBL,2.1075736428444023e-26,7.045811065911568e-05,0.0026680395927375,15,4,0.27921806026839213
CYC1,8.682074738802893e-29,6.048762330169365e-05,0.0025249667947164875,15,3,0.2776512508227136
LSM5,8.682074738802893e-29,3.2882465880790835e-05,0.002486031685283871,15,3,0.2772248672049235
RBX1,8.682074738802894e-29,7.895820291130174e-06,0.002390244044640341,15,3,0.2761758838746506
PSMB1,2.6851777542689383e-31,3.256018750156103e-05,0.002329282702191692,15,2,0.27550828801791927
ATP6V0C,5.5421625475107155e-34,1.63556277459125e-05,0.0021802503234142753,15,1,0.2738762144021778
RPL39,4.097123161689526e-24,0.00011742011323250852,0.0029048523224902657,14,5,0.2651447616420923
EIF2S3,2.1075736428444023e-26,7.51512895566497e-05,0.002616742580429896,14,4,0.26198963312363066
PSMA5,2.1075736428444023e-26,3.4594569770449166e-05,0.002600234065743962,14,4,0.26180884615991834
ANAPC11,8.682074738802894e-29,6.385140388490472e-05,0.0025705300272404713,14,3,0.2614835532408882
HSPD1,8.682074738802893e-29,5.118183510143309e-05,0.002456509307053174,14,3,0.26023489700529623
LSM10,8.682074738802893e-29,2.311340251038743e-05,0.0024514070144499088,14,3,0.26017902111305125
SRP14,2.6851777542689383e-31,1.5509647000434267e-05,0.0023037930959511335,14,2,0.25856248124651743
DPM2,5.5421625475107155e-34,2.2841480127912285e-05,0.0022056302754415204,14,1,0.25748748700221447
SEC61G,5.5421625475107155e-34,1.19847272276083e-05,0.002195961722288284,14,1,0.25738160537680366
CHMP5,5.7253745325524036e-37,0.0,0.0020702705312962122,14,0,0.2560051442464633
NDUFA2,4.097123161689527e-24,5.170553746768152e-05,0.002798646008435515,13,5,0.24731501535195138
EIF3B,2.1075736428444018e-26,6.641955971939222e-05,0.0027265880802640223,13,4,0.24652589929315635
XRCC5,4.07622053027452e-24,9.686479535725766e-05,0.0027158164729882534,13,4,0.2464079379737563
TMX2,2.1075736428444018e-26,2.8652562153399673e-05,0.002626898601010645,13,4,0.2454341864037081
RPL18A,2.0989184198831428e-26,9.686479535725766e-05,0.002607538229027283,13,3,0.24522216836733107
GTF2F2,5.7253745325524036e-37,0.0,0.0020702705312962122,13,0,0.23933847757979665
RPS3,9.244885272808306e-20,0.00016494610296955355,0.0034023925146821343,12,7,0.23726005784221116
ARF4,9.244885272808316e-20,8.110336837305013e-05,0.003212000005540028,12,7,0.23517504387843535
ILF3,6.644168060539846e-22,7.935097968598806e-05,0.003081204453047115,12,6,0.23374268419907446
RSL24D1,4.097123161689526e-24,0.00011364341347590928,0.0030623594385151363,12,5,0.23353630991143165
EIF4G1,2.6851777542689396e-31,0.00010743955467573559,0.002467194343006587,12,2,0.22701857693717326
PSMG1,8.682074738802893e-29,2.3546464082477482e-05,0.002443659680420319,12,3,0.22676084568321672
MRPS31,2.6851777542689383e-31,1.0222267341195315e-05,0.002321593396311453,12,2,0.22542408139548287
PTCD3,5.7253745325524036e-37,0.0,0.0020702705312962122,12,0,0.22267181091312996
MRPS11,5.7253745325524036e-37,0.0,0.0020702705312962122,12,0,0.22267181091312996
MRGBP,5.7253745325524036e-37,0.0,0.0020702705312962122,12,0,0.22267181091312996
PTMA,6.6441680605398555e-22,0.00013606190323108247,0.0032474242656958183,11,6,0.21889631304713353
PDCD6IP,6.6441680605398555e-22,6.016534492246385e-05,0.0029816208107924127,11,6,0.21598546367816066
