gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score,k562_chronos,pan_mean_chronos,selective_score,is_selectively_essential,is_essential
WDR26,0.9936149666085956,0.0,0.014514715908198647,0,7,0.5589526052532097,5.48155728070859,5.196954436394599,0.28460284431399074,False,False
PPP1CB,0.10419051264957863,0.0,0.027394422164538062,0,10,0.34194401902185567,5.68873986801449,6.114027755111359,-0.4252878870968697,True,False
BRIX1,5.5421625475107155e-34,2.3264470500651406e-05,0.0022169102541202963,18,1,0.32427768223186043,5.936166777979151,5.799074379558997,0.13709239842015464,False,False
RNPS1,5.5421625475107155e-34,7.895820291130174e-06,0.0021737809238779183,18,1,0.32380536713811614,7.139244363347547,7.271296474927569,-0.1320521115800215,False,False
CCT6A,2.6851777542689383e-31,6.68324788927804e-05,0.0024047363803686166,17,2,0.30966792472487803,7.553974808237472,7.805175515947673,-0.2512007077102014,True,False
RPL10A,2.6851777542689383e-31,5.752669069251984e-05,0.0023395381621842616,17,2,0.308953930272364,10.720329774131276,10.256314001981544,0.46401577214973244,False,False
RSL1D1,2.6851777542689396e-31,3.4242077793166564e-05,0.002334678789085348,17,2,0.308900714624269,7.734574149542524,7.233943210031472,0.5006309395110522,False,False
RPL7A,2.6851777542689383e-31,3.0364666043057996e-05,0.002334678789085348,17,2,0.308900714624269,11.325249230492902,11.096283022805691,0.2289662076872112,False,False
PSMC3,2.6851777542689396e-31,7.895820291130174e-06,0.0022764277934293397,17,2,0.3082628001396399,7.712458217153396,7.666340450177524,0.046117766975872776,False,False
NUP214,5.7253745325524036e-37,0.0,0.0020702705312962122,17,0,0.3060051442464633,6.7014104362328135,4.334221884278838,2.3671885519539755,False,False
SBDS,5.7253745325524036e-37,0.0,0.0020702705312962122,17,0,0.3060051442464633,6.740387932468353,6.1798727364712,0.5605151959971533,False,False
YBX1,8.682074738802894e-29,0.00019626753295095002,0.0026419439697735127,16,3,0.29559895025971317,9.75560533150036,9.580184088353771,0.17542124314658913,False,False
PSMB2,8.682074738802893e-29,5.522038604115656e-05,0.002461268972356822,16,3,0.293620354073254,6.367545800105339,6.140279031417584,0.22726676868775542,False,False
WAC,5.5421625475107155e-34,2.381838646495262e-05,0.0022169102541202963,16,1,0.2909443488985271,5.978882028096418,5.712478489596166,0.2664035385002519,False,False
HNRNPR,5.5421625475107155e-34,1.9689194731070774e-05,0.0022169102541202963,16,1,0.2909443488985271,7.15623479785027,7.029531298501755,0.12670349934851455,False,False
TRA2B,5.7253745325524036e-37,0.0,0.0020702705312962122,16,0,0.28933847757979664,7.072641779622777,7.222122601238552,-0.14948082161577503,False,False
PSMC4,5.7253745325524036e-37,0.0,0.0020702705312962122,16,0,0.28933847757979664,6.7713574089905615,6.784812199494905,-0.013454790504343173,False,False
FBL,2.1075736428444023e-26,7.045811065911568e-05,0.0026680395927375,15,4,0.27921806026839213,8.614893849605016,8.240540187520589,0.37435366208442744,False,False
CYC1,8.682074738802893e-29,6.048762330169365e-05,0.0025249667947164875,15,3,0.2776512508227136,7.651769271417989,7.1930338229803485,0.4587354484376407,False,False
LSM5,8.682074738802893e-29,3.2882465880790835e-05,0.002486031685283871,15,3,0.2772248672049235,6.882520781889342,6.66410831548885,0.21841246640049228,False,False
RBX1,8.682074738802894e-29,7.895820291130174e-06,0.002390244044640341,15,3,0.2761758838746506,5.903520373723376,6.104321458701055,-0.20080108497767846,True,False
PSMB1,2.6851777542689383e-31,3.256018750156103e-05,0.002329282702191692,15,2,0.27550828801791927,8.832795096895001,8.07412201123856,0.7586730856564419,False,False
ATP6V0C,5.5421625475107155e-34,1.63556277459125e-05,0.0021802503234142753,15,1,0.2738762144021778,7.036723106005525,6.753107575398348,0.28361553060717704,False,False
RPL39,4.097123161689526e-24,0.00011742011323250852,0.0029048523224902657,14,5,0.2651447616420923,12.009478745888066,11.89156518098524,0.11791356490282645,False,False
EIF2S3,2.1075736428444023e-26,7.51512895566497e-05,0.002616742580429896,14,4,0.26198963312363066,8.740084303078431,7.244006806661422,1.4960774964170094,False,False
PSMA5,2.1075736428444023e-26,3.4594569770449166e-05,0.002600234065743962,14,4,0.26180884615991834,7.170926525287385,6.615742630990077,0.5551838942973077,False,False
ANAPC11,8.682074738802894e-29,6.385140388490472e-05,0.0025705300272404713,14,3,0.2614835532408882,7.600061565968599,7.3190772768366035,0.2809842891319958,False,False
HSPD1,8.682074738802893e-29,5.118183510143309e-05,0.002456509307053174,14,3,0.26023489700529623,8.491332029033206,8.71648727953749,-0.22515525050428487,True,False
LSM10,8.682074738802893e-29,2.311340251038743e-05,0.0024514070144499088,14,3,0.26017902111305125,6.374517881046292,5.4157393501821165,0.9587785308641754,False,False
